,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,PANNs,PSTATION,fix,0.8124,0.0,0.8551,0.0005,0.0427,0.0005
1,SpeechCommandsV2,PANNs,Global,fix,0.8124,0.0,0.8551,0.0005,0.0427,0.0005
