,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7126760563380282,0.8122671512948659,0.09959109495683771
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.8076328941390277,0.10331667423898228
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.7522035438437074,0.7801908223534757,0.027987278509768343
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.791094956837801,0.02653339391185816
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.8488868696047251,0.012085415720127224
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.8558836892321672,0.015720127214902346
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8399818264425262,0.8498864152657882,0.009904588823262062
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8351658337119491,0.8470695138573375,0.011903680145388451
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.7832803271240345,0.10149931849159466
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6882326215356656,0.7611994547932758,0.07296683325761022
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.7252158109950023,0.02089959109495687
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.5678328032712403,0.6297137664697865,0.06188096319854619
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7071331213084961,0.8640617900954112,0.15692866878691503
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6907769195820082,0.8659700136301681,0.17519309404815997
