,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7128577919127669,0.8126306224443435,0.0997728305315766
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.8052703316674239,0.10095411176737845
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.7784643343934575,0.0263516583371195
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.7905497501135847,0.025988187187641953
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.848614266242617,0.01181281235801912
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.8552476147205815,0.015084052703316697
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8399818264425262,0.8483416628805088,0.00835983643798266
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8353475692866879,0.8477055883689232,0.012358019082235328
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.7807360290776919,0.09895502044525206
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6881417537482962,0.7559291231258519,0.0677873693775557
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.7260336210813266,0.021717401181281182
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.6326215356656065,0.06487960018173555
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.8653339391185825,0.15829168559745577
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6907769195820082,0.8654248069059518,0.17464788732394365
