,Alg.,Dataset,Corruption,Before,After,After - Before
0,AMAuT,UrbanSound8K,WHN-L1,0.09851749241352081,0.17903117835521698,0.08051368594169617
1,AMAuT,UrbanSound8K,WHN-L2,0.09394516050815582,0.16911642253398895,0.07517126202583313
2,AMAuT,UrbanSound8K,ENSC-L1,0.0175999216735363,0.1713467836380005,0.1537468619644642
3,AMAuT,UrbanSound8K,ENSC-L2,0.025910528376698494,0.15908397734165192,0.13317344896495342
4,AMAuT,UrbanSound8K,PSH-L1,0.08857925236225128,0.11295577138662338,0.0243765190243721
5,AMAuT,UrbanSound8K,PSH-L2,0.06084093078970909,0.07788433879613876,0.017043408006429672
6,AMAuT,UrbanSound8K,TST-L1,0.0119749391451478,0.16045762598514557,0.14848268683999777
7,AMAuT,UrbanSound8K,TST-L2,0.011633126065135002,0.1572345495223999,0.1456014234572649
