,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,UrbanSound8K,AMAuT,99080852,WHN-L1,0.6044526905130494,0.6807714845140256,0.07631879400097619
1,UrbanSound8K,AMAuT,99080852,WHN-L2,0.6111401685942983,0.7046082216010432,0.09346805300674488
2,UrbanSound8K,AMAuT,99080852,ENSC-L1,0.5348702193417478,0.7088240733815988,0.17395385403985097
3,UrbanSound8K,AMAuT,99080852,ENSC-L2,0.5540472003045127,0.6992113656181558,0.14516416531364307
4,UrbanSound8K,AMAuT,99080852,PSH-L1,0.6035774494226037,0.6537615557216075,0.05018410629900383
5,UrbanSound8K,AMAuT,99080852,PSH-L2,0.5549546805146192,0.5990770798435355,0.04412239932891637
6,UrbanSound8K,AMAuT,99080852,TST-L1,0.5183822964830602,0.6922215731598572,0.173839276676797
7,UrbanSound8K,AMAuT,99080852,TST-L2,0.5179962477302702,0.7079888436279325,0.18999259589766226
