,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,UrbanSound8K,AMAuT,99080852,WHN-L1,0.6044526905130494,0.7024997740636973,0.09804708355064795
1,UrbanSound8K,AMAuT,99080852,WHN-L2,0.6111401685942983,0.698889322408837,0.08774915381453874
2,UrbanSound8K,AMAuT,99080852,ENSC-L1,0.5348702193417478,0.7123711290853066,0.1775009097435588
3,UrbanSound8K,AMAuT,99080852,ENSC-L2,0.553752696511147,0.7023008763611763,0.14854817985002933
4,UrbanSound8K,AMAuT,99080852,PSH-L1,0.6042709022883558,0.654052414869307,0.049781512580951204
5,UrbanSound8K,AMAuT,99080852,PSH-L2,0.5549546805146192,0.6017725844475516,0.04681790393293239
6,UrbanSound8K,AMAuT,99080852,TST-L1,0.5182993253588293,0.6858999445006189,0.1676006191417896
7,UrbanSound8K,AMAuT,99080852,TST-L2,0.5179962477302702,0.685239612397118,0.16724336466684775
