,Alg.,Dataset,Corruption,Before,After,After - Before
0,HuBERT,UrbanSound8K,WHN-L1,-0.019603798165917397,-0.012232487089931965,0.007371311075985432
1,HuBERT,UrbanSound8K,WHN-L2,-0.020335106179118156,-0.012399476021528244,0.007935630157589912
2,HuBERT,UrbanSound8K,ENSC-L1,-0.028909901157021523,-0.02611703984439373,0.0027928613126277924
3,HuBERT,UrbanSound8K,ENSC-L2,-0.021153997629880905,-0.02419845387339592,-0.0030444562435150146
4,HuBERT,UrbanSound8K,PSH-L1,-0.01601725071668625,-0.018528131768107414,-0.0025108810514211655
5,HuBERT,UrbanSound8K,PSH-L2,-0.020015107467770576,-0.026235198602080345,-0.006220091134309769
6,HuBERT,UrbanSound8K,TST-L1,-0.035954833030700684,-0.01761927641928196,0.018335556611418724
7,HuBERT,UrbanSound8K,TST-L2,-0.03473827615380287,-0.013253453187644482,0.02148482296615839
