,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,UrbanSound8K,HuBERT,111351818,WHN-L1,0.6200776038551996,0.6873378311501158,0.06726022729491621
1,UrbanSound8K,HuBERT,111351818,WHN-L2,0.6129884036238453,0.6847726837823915,0.07178428015854621
2,UrbanSound8K,HuBERT,111351818,ENSC-L1,0.5068398167339327,0.6450371693203704,0.13819735258643762
3,UrbanSound8K,HuBERT,111351818,ENSC-L2,0.5246455282247455,0.6152557253755675,0.09061019715082197
4,UrbanSound8K,HuBERT,111351818,PSH-L1,0.6511681079385166,0.6656544398273717,0.014486331888855064
5,UrbanSound8K,HuBERT,111351818,PSH-L2,0.6067175319879593,0.6576312703733649,0.05091373838540558
6,UrbanSound8K,HuBERT,111351818,TST-L1,0.4374968489496619,0.6995883657036291,0.26209151675396725
7,UrbanSound8K,HuBERT,111351818,TST-L2,0.4390147888174919,0.6804387775742038,0.2414239887567119
