,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,UrbanSound8K,HuBERT,111351818,WHN-L1,0.6200776038551996,0.6954455884089549,0.07536798455375526
1,UrbanSound8K,HuBERT,111351818,WHN-L2,0.6129884036238453,0.6822070879804396,0.06921868435659428
2,UrbanSound8K,HuBERT,111351818,ENSC-L1,0.5068398167339327,0.6370353991226008,0.13019558238866802
3,UrbanSound8K,HuBERT,111351818,ENSC-L2,0.5246455282247455,0.6177850876080242,0.09313955938327867
4,UrbanSound8K,HuBERT,111351818,PSH-L1,0.6511681079385166,0.6907719965458577,0.0396038886073411
5,UrbanSound8K,HuBERT,111351818,PSH-L2,0.6067175319879593,0.6627645304710706,0.05604699848311134
6,UrbanSound8K,HuBERT,111351818,TST-L1,0.4374968489496619,0.6848652248660674,0.24736837591640548
7,UrbanSound8K,HuBERT,111351818,TST-L2,0.4390147888174919,0.6971037187910666,0.2580889299735747
