,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,UrbanSound8K,PANNs,84780131,WHN-L1,0.8211105472892044,0.8207865241968493,-0.00032402309235513016
1,UrbanSound8K,PANNs,84780131,WHN-L2,0.8269365250195986,0.8204983103154202,-0.00643821470417838
2,UrbanSound8K,PANNs,84780131,ENSC-L1,0.713885750105573,0.7760030404258822,0.062117290320309215
3,UrbanSound8K,PANNs,84780131,ENSC-L2,0.71166637380084,0.7640341791399348,0.0523678053390948
4,UrbanSound8K,PANNs,84780131,PSH-L1,0.8029177684980014,0.8207078713490995,0.017790102851098055
5,UrbanSound8K,PANNs,84780131,PSH-L2,0.7919476406661182,0.8198578505164094,0.027910209850291134
6,UrbanSound8K,PANNs,84780131,TST-L1,0.5112971558192924,0.8315345434098097,0.32023738759051734
7,UrbanSound8K,PANNs,84780131,TST-L2,0.5007402549807789,0.8346990141897026,0.3339587592089237
