,dataset,module,param_num,adaptation,accuracy,error_rate
0,SpeechCommandsV1,AuT,103070780,,95.91806876371616,4.081931236283836
1,SpeechCommandsV1,AuT,103070780,TTA,96.4740307242136,3.5259692757863945
2,SpeechCommandsV1,AuT,103070780,MltAug,95.97659107534747,4.023408924652529
