,dataset,module,param_num,corruption_type,corruption_level,accuracy,error_rate
0,SpeechCommandsV2,HuBERT,94680483,CochlScene,10.0,95.65314757846846,4.346852421531537
1,SpeechCommandsV2,HuBERT,94680483,CochlScene,10.0,89.89550204452522,10.104497955474784
