,dataset,module,param_num,corruption_type,corruption_level,accuracy,error_rate
0,SpeechCommandsV2,HuBERT,94680483,VocalSound,3.0,95.65314757846846,4.346852421531537
1,SpeechCommandsV2,HuBERT,94680483,VocalSound,3.0,65.8246251703771,34.175374829622896
