,dataset,module,param_num,corruption_type,corruption_level,accuracy,error_rate
0,SpeechCommandsV2,HuBERT,96479942,VocalSound,10.0,97.51022262607906,2.489777373920944
1,SpeechCommandsV2,HuBERT,96479942,VocalSound,10.0,91.74011812812358,8.259881871876416
