,idx,Dataset,Alg.,Param No.,Crpt-type,Crpt-level,No-adpt-accu,Adpt-accu
0,0,SpeechCommandsV2,HuBERT,96479942,END1,L1,95.49295774647887,95.86551567469333
1,1,SpeechCommandsV2,HuBERT,96479942,END1,L1,95.620172648796,95.8109950022717
2,2,SpeechCommandsV2,HuBERT,96479942,END1,L1,95.72921399363925,96.06542480690595
3,TTL,SpeechCommandsV2,HuBERT,96479942,END1,L1,95.6141147963047,95.91397849462366
