index,Dataset,Algorithm,Param No.,No-adapted,Adapted,Increase
0,SC2,AST,85395491,88.40527033166742,91.32212630622443,2.9168559745570093
1,SC2,AST,85395491,88.41435711040437,91.52203543843707,3.107678328032705
2,SC2,AST,85395491,88.77782825988187,91.64016356201726,2.862335302135392
Mean,SC2,AST,85395491,88.53248523398456,91.49477510222626,2.9622898682416974
