index,Dataset,Algorithm,Param No.,No-adapted,Adapted
0,SC2,AST,85395491,95.39300318037256,95.6928668786915
1,SC2,AST,85395491,95.40208995910949,95.62925942753294
2,SC2,AST,85395491,95.329395729214,95.53839164016357
Mean,SC2,AST,85395491,95.37482962289869,95.62017264879601
