index,Dataset,Algorithm,Param No.,No-adapted,Adapted,Increase
0,SC2,AST,85395491,84.28895956383462,87.82371649250341,3.5347569286687843
1,SC2,AST,85395491,84.29804634257155,87.84189004997728,3.5438437074057276
2,SC2,AST,85395491,84.7160381644707,88.21444797819173,3.4984098137210253
Mean,SC2,AST,85395491,84.43434802362562,87.96001817355749,3.5256701499318694
