index,Dataset,Algorithm,Param No.,No-adapted,Adapted,Increase
0,SC2,AST,85395491,78.1735574738755,82.36256247160382,4.189004997728318
1,SC2,AST,85395491,77.92821444797819,81.91731031349386,3.989095865515665
2,SC2,AST,85395491,78.64606996819627,82.6715129486597,4.025442980463424
Mean,SC2,AST,85395491,78.24928063001666,82.31712857791912,4.0678479479024645
