index,Dataset,Algorithm,Param No.,No-adapted,Adapted,Increase
0,SC2,AST,85395491,93.55747387551114,94.16628805088595,0.6088141753748175
1,SC2,AST,85395491,93.79373012267152,94.49341208541571,0.6996819627441937
2,SC2,AST,85395491,93.63925488414357,94.35711040436165,0.7178555202180803
Mean,SC2,AST,85395491,93.66348629410874,94.33893684688776,0.6754505527790258
