,dataset,module,param_num,corruption_type,corruption_level,adaptation,accuracy,error_rate
0,SpeechCommandsV1,HuBERT,96478652,,,,97.61521580102414,2.384784198975865
1,SpeechCommandsV1,HuBERT,96478652,doing_the_dishes,3.0,,86.97878566203366,13.021214337966342
2,SpeechCommandsV1,HuBERT,96478652,doing_the_dishes,3.0,CEG,92.6700804681785,7.329919531821503
3,SpeechCommandsV1,HuBERT,96478652,doing_the_dishes,3.0,aug-elec,93.050475493782,6.9495245062179976
