,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7128577919127669,0.03771013175829169,-0.6751476601544752
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.03380281690140845,-0.670513402998637
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.03934575193094048,-0.7127669241253975
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.04098137210358928,-0.7235801908223535
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.036983189459336666,-0.7998182644252613
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.039800090867787366,-0.8003634711494775
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8400726942298955,0.040254429804634256,-0.7998182644252613
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8353475692866879,0.03898228078146297,-0.7963652885052249
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.036983189459336666,-0.6447978191731032
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6881417537482962,0.036892321671967286,-0.6512494320763289
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.0380736029077692,-0.6662426169922763
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.037346660608814176,-0.5303952748750568
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.04216265333939118,-0.6648796001817355
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6907769195820082,0.04552476147205815,-0.64525215810995
