,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7128577919127669,0.03771013175829169,-0.6751476601544752
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.03434802362562472,-0.6699681962744207
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.039800090867787366,-0.7123125851885507
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.040436165379373015,-0.7241253975465698
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.036892321671967286,-0.7999091322126306
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.039618355293048614,-0.8005452067242163
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8398909586551567,0.04016356201726488,-0.7997273966378918
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8353475692866879,0.03907314856883235,-0.7962744207178555
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.036983189459336666,-0.6447978191731032
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6881417537482962,0.036710586097228534,-0.6514311676510677
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.03780099954566106,-0.6665152203543844
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.037074057246706045,-0.5306678782371649
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.04243525670149932,-0.6646069968196274
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6907769195820082,0.04516129032258064,-0.6456156292594275
