Step,CoN-RS-TST-L1
0,0.993658016
1,0.9937704088854347
2,0.9935348852667973
3,0.9934061705860876
4,0.9932660772049555
5,0.9932201105469068
6,0.9930826440543807
7,0.9930060712483574
8,0.9929239911876587
9,0.9927795694762859
10,0.9926698754959343
11,0.9925205180545397
12,0.9924379444840341
13,0.9923608565628499
14,0.9923593548802522
15,0.9922334082864264
