,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,AMAuT,97005989,WHN-L1,0.7268170426065163,0.874129768866611,0.14731272626009473
1,VocalSound,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8763575605680869,0.1620718462823726
2,VocalSound,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8538011695906432,0.06878306878306872
3,VocalSound,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8574213311055416,0.07156780840991372
4,VocalSound,AMAuT,97005989,END1-L1,0.8212197159565581,0.8900027847396268,0.06878306878306872
5,VocalSound,AMAuT,97005989,END1-L2,0.8173210804789752,0.8863826232247285,0.06906154274575327
6,VocalSound,AMAuT,97005989,END2-L1,0.8148148148148148,0.8874965190754665,0.07268170426065168
7,VocalSound,AMAuT,97005989,END2-L2,0.8061821219715957,0.8869395711500975,0.0807574491785018
8,VocalSound,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8738512949039264,0.15232525758841542
9,VocalSound,AMAuT,97005989,ENSC-L2,0.7254246727930939,0.8515733778891673,0.12614870509607345
10,VocalSound,AMAuT,97005989,PSH-L1,0.8359788359788359,0.8576998050682261,0.02172096908939014
11,VocalSound,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8362573099415205,0.025341130604288553
12,VocalSound,AMAuT,97005989,TST-L1,0.7813979392926761,0.8744082428292954,0.09301030353661932
13,VocalSound,AMAuT,97005989,TST-L2,0.7766638819270398,0.8713450292397661,0.09468114731272625
