,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,UrbanSound8K,AMAuT,99080852,WHN-L1,0.6044526905130494,0.6790490893342157,0.07459639882116631
1,UrbanSound8K,AMAuT,99080852,WHN-L2,0.6111401685942983,0.6878232044427988,0.07668303584850045
2,UrbanSound8K,AMAuT,99080852,ENSC-L1,0.5348702193417478,0.63082867147891,0.09595845213716214
3,UrbanSound8K,AMAuT,99080852,ENSC-L2,0.553752696511147,0.6125630833090048,0.05881038679785777
4,UrbanSound8K,AMAuT,99080852,PSH-L1,0.6035774494226037,0.6185805124531978,0.015003063030594066
5,UrbanSound8K,AMAuT,99080852,PSH-L2,0.5549546805146192,0.5781283098832053,0.023173629368586135
6,UrbanSound8K,AMAuT,99080852,TST-L1,0.5182993253588293,0.6774721579698599,0.15917283261103066
7,UrbanSound8K,AMAuT,99080852,TST-L2,0.5179962477302702,0.6881273591287829,0.17013111139851267
