,Dataset,Algorithm,Param No.,Corruption,Performance
0,UrbanSound8K,AMAuT + HuBERT,210432670,WHN-L1,0.7380878282495505
1,UrbanSound8K,AMAuT + HuBERT,210432670,WHN-L2,0.7346750989295987
2,UrbanSound8K,AMAuT + HuBERT,210432670,ENSC-L1,0.7347644163772978
3,UrbanSound8K,AMAuT + HuBERT,210432670,ENSC-L2,0.7196625693150821
4,UrbanSound8K,AMAuT + HuBERT,210432670,PSH-L1,0.6792594754681438
5,UrbanSound8K,AMAuT + HuBERT,210432670,PSH-L2,0.6712462510550454
6,UrbanSound8K,AMAuT + HuBERT,210432670,TST-L1,0.7176968545810137
7,UrbanSound8K,AMAuT + HuBERT,210432670,TST-L2,0.717835184551722
