,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.8149839809833924,0.5181810862137093,-0.29680289476968313
1,ReefSet,PANNs,84794009,WHN-L2,0.8080478279829617,0.5218987972770716,-0.28614903070589015
2,ReefSet,PANNs,84794009,ENQ-L1,0.7616108026843517,0.5309476818295109,-0.23066312085484075
3,ReefSet,PANNs,84794009,ENQ-L2,0.7688404068648338,0.5162055958453244,-0.25263481101950935
4,ReefSet,PANNs,84794009,END1-L1,0.8815486163150265,0.5231265285887112,-0.35842208772631523
5,ReefSet,PANNs,84794009,END1-L2,0.8797020858960238,0.5383969003721438,-0.34130518552388
6,ReefSet,PANNs,84794009,END2-L1,0.8503970762124773,0.5105053913744818,-0.3398916848379955
7,ReefSet,PANNs,84794009,END2-L2,0.8360778122634985,0.5170517100831227,-0.31902610218037586
8,ReefSet,PANNs,84794009,ENSC-L1,0.7391591634953751,0.5197759796018375,-0.21938318389353761
9,ReefSet,PANNs,84794009,ENSC-L2,0.7470376344978987,0.522354699523401,-0.22468293497449776
10,ReefSet,PANNs,84794009,PSH-L1,0.932539714566309,0.5350350921860301,-0.39750462238027895
11,ReefSet,PANNs,84794009,PSH-L2,0.926500921156884,0.5295480498533476,-0.3969528713035364
12,ReefSet,PANNs,84794009,TST-L1,0.7108329322815603,0.5229398660375718,-0.1878930662439885
13,ReefSet,PANNs,84794009,TST-L2,0.6822592687787878,0.5187407696700621,-0.16351849910872573
